date,close
2007-12-17,1.44
2007-12-18,1.4413
2007-12-19,1.4383
2007-12-20,1.433
2007-12-21,1.4357
2007-12-24,1.4403
2007-12-26,1.4488
2007-12-27,1.4625
2007-12-28,1.4715
2007-12-31,1.4599
2008-01-01,1.4593
2008-01-02,1.4717
2008-01-03,1.475
2008-01-04,1.4752
2008-01-07,1.4695
2008-01-08,1.4706
2008-01-09,1.4659
2008-01-10,1.4804
2008-01-11,1.4777
2008-01-14,1.4868
2008-01-15,1.4805
2008-01-16,1.465
2008-01-17,1.4642
2008-01-18,1.4616
2008-01-21,1.4454
2008-01-22,1.4627
2008-01-23,1.4627
2008-01-24,1.4754
2008-01-25,1.4671
2008-01-28,1.4781
2008-01-29,1.4776
2008-01-30,1.486
2008-01-31,1.486
2008-02-01,1.4798
2008-02-04,1.4828
2008-02-05,1.4647
2008-02-06,1.4628
2008-02-07,1.4485
2008-02-08,1.4512
2008-02-11,1.4518
2008-02-12,1.4583
2008-02-13,1.4573
2008-02-14,1.4641
2008-02-15,1.4678
2008-02-18,1.4656
2008-02-19,1.4725
2008-02-20,1.4714
2008-02-21,1.4814
2008-02-22,1.4831
2008-02-25,1.4829
2008-02-26,1.4975
2008-02-27,1.512
2008-02-28,1.5195
2008-02-29,1.518
2008-03-03,1.5204
2008-03-04,1.5217
2008-03-05,1.5263
2008-03-06,1.5381
2008-03-07,1.5345
2008-03-10,1.5343
2008-03-11,1.5338
2008-03-12,1.555
2008-03-13,1.5636
2008-03-14,1.567
2008-03-17,1.5728
2008-03-18,1.5625
2008-03-19,1.5624
2008-03-20,1.5427
2008-03-21,1.5438
2008-03-24,1.5422
2008-03-25,1.5649
2008-03-26,1.5848
2008-03-27,1.5778
2008-03-28,1.5804
2008-03-31,1.5788
2008-04-01,1.5612
2008-04-02,1.5685
2008-04-03,1.5681
2008-04-04,1.573
2008-04-07,1.571
2008-04-08,1.5712
2008-04-09,1.5831
2008-04-10,1.5742
2008-04-11,1.5826
2008-04-14,1.5831
2008-04-15,1.5789
2008-04-16,1.5947
2008-04-17,1.5908
2008-04-18,1.5808
2008-04-21,1.591
2008-04-22,1.5991
2008-04-23,1.5887
2008-04-24,1.5686
2008-04-25,1.5592
2008-04-28,1.5656
2008-04-29,1.5573
2008-04-30,1.5622
2008-05-01,1.5474
2008-05-02,1.5412
2008-05-05,1.5496
2008-05-06,1.5532
2008-05-07,1.5392
2008-05-08,1.5393
2008-05-09,1.5481
2008-05-12,1.5553
2008-05-13,1.5474
2008-05-14,1.5473
2008-05-15,1.5446
2008-05-16,1.5594
2008-05-19,1.551
2008-05-20,1.5646
2008-05-21,1.5794
2008-05-22,1.5729
2008-05-23,1.5774
2008-05-26,1.5769
2008-05-27,1.5691
2008-05-28,1.5638
2008-05-29,1.5519
2008-05-30,1.5557
2008-06-02,1.5536
2008-06-03,1.5444
2008-06-04,1.5438
2008-06-05,1.5592
2008-06-06,1.5769
2008-06-09,1.5646
2008-06-10,1.5467
2008-06-11,1.5551
2008-06-12,1.5438
2008-06-13,1.5362
2008-06-16,1.5476
2008-06-17,1.551
2008-06-18,1.5534
2008-06-19,1.5504
2008-06-20,1.5625
2008-06-23,1.5518
2008-06-24,1.5567
2008-06-25,1.5666
2008-06-26,1.5756
2008-06-27,1.579
2008-06-30,1.5754
2008-07-01,1.5792
2008-07-02,1.5882
2008-07-03,1.5703
2008-07-04,1.5698
2008-07-07,1.5727
2008-07-08,1.5669
2008-07-09,1.5742
2008-07-10,1.5788
2008-07-11,1.5923
2008-07-14,1.5908
2008-07-15,1.5911
2008-07-16,1.5826
2008-07-17,1.5862
2008-07-18,1.5837
2008-07-21,1.5922
2008-07-22,1.5786
2008-07-23,1.5697
2008-07-24,1.5678
2008-07-25,1.5698
2008-07-28,1.574
2008-07-29,1.5588
2008-07-30,1.5575
2008-07-31,1.5603
2008-08-01,1.554
2008-08-04,1.5576
2008-08-05,1.5453
2008-08-06,1.5404
2008-08-07,1.5324
2008-08-08,1.5017
2008-08-11,1.4909
2008-08-12,1.4926
2008-08-13,1.4918
2008-08-14,1.4825
2008-08-15,1.4672
2008-08-18,1.4694
2008-08-19,1.4775
2008-08-20,1.4746
2008-08-21,1.4898
2008-08-22,1.4773
2008-08-25,1.4753
2008-08-26,1.4656
2008-08-27,1.4727
2008-08-28,1.4706
2008-08-29,1.467
2008-09-01,1.4615
2008-09-02,1.4519
2008-09-03,1.4498
2008-09-04,1.4325
2008-09-05,1.4234
2008-09-08,1.4126
2008-09-09,1.4133
2008-09-10,1.3998
2008-09-11,1.3994
2008-09-12,1.4214
2008-09-15,1.4245
2008-09-16,1.4132
2008-09-17,1.4326
2008-09-18,1.4348
2008-09-19,1.4473
2008-09-22,1.4775
2008-09-23,1.4649
2008-09-24,1.462
2008-09-25,1.4608
2008-09-26,1.4612
2008-09-29,1.4437
2008-09-30,1.4093
2008-10-01,1.4008
2008-10-02,1.3818
2008-10-03,1.3804
2008-10-06,1.3503
2008-10-07,1.359
2008-10-08,1.3655
2008-10-09,1.3604
2008-10-10,1.3413
2008-10-13,1.3576
2008-10-14,1.3619
2008-10-15,1.35
2008-10-16,1.3453
2008-10-17,1.3403
2008-10-20,1.3344
2008-10-21,1.3063
2008-10-22,1.2855
2008-10-23,1.2933
2008-10-24,1.2582
2008-10-27,1.2493
2008-10-28,1.2681
2008-10-29,1.2955
2008-10-30,1.2913
2008-10-31,1.2742
2008-11-03,1.2643
2008-11-04,1.298
2008-11-05,1.2955
2008-11-06,1.2718
2008-11-07,1.2762
2008-11-10,1.2747
2008-11-11,1.2522
2008-11-12,1.2504
2008-11-13,1.2774
2008-11-14,1.2686
2008-11-17,1.2648
2008-11-18,1.2618
2008-11-19,1.249
2008-11-20,1.2452
2008-11-21,1.2577
2008-11-24,1.2949
2008-11-25,1.3064
2008-11-26,1.288
2008-11-27,1.2903
2008-11-28,1.27
2008-12-01,1.2606
2008-12-02,1.2712
2008-12-03,1.2716
2008-12-04,1.2779
2008-12-05,1.2715
2008-12-08,1.2958
2008-12-09,1.2928
2008-12-10,1.302
2008-12-11,1.3358
2008-12-12,1.3375
2008-12-15,1.3687
2008-12-16,1.4011
2008-12-17,1.4419
2008-12-18,1.4251
2008-12-19,1.3919
2008-12-22,1.3941
2008-12-23,1.3925
2008-12-24,1.3993
2008-12-26,1.4058
2008-12-29,1.3926
2008-12-30,1.4057
2008-12-31,1.3936
2009-01-02,1.3852
2009-01-05,1.3633
2009-01-06,1.3533
2009-01-07,1.3644
2009-01-08,1.3703
2009-01-09,1.3429
