epoch|neuron|rmse 
100|1|127.63469915594166
100|1|116.61204132498769
100|1|120.92388965289672
100|1|103.93068328224733
100|1|124.6713181822106
100|1|126.8407718099604
100|1|112.52749683374651
100|1|100.70931121542307
100|1|111.84232804408484
100|1|125.8299543022795
100|2|112.78088002929539
100|2|99.43198755795382
100|2|113.37511117304706
100|2|101.40879271248296
100|2|88.03665069326833
100|2|106.65462636533591
100|2|99.56073160151948
100|2|99.27275304107775
100|2|104.96773625946584
100|2|119.51276485955363
100|3|102.34749442220726
100|3|95.45581981957652
100|3|80.89234775231583
100|3|75.28560654131569
100|3|95.04349464065587
100|3|89.63359983004803
100|3|104.54625036778042
100|3|90.14772422832563
100|3|90.80907920357078
100|3|98.41483507510691
100|4|105.05379329212377
100|4|88.43715705140613
100|4|77.89359341034579
100|4|102.73128135838282
100|4|98.66316690804744
100|4|97.81406884237191
100|4|107.41036754223165
100|4|76.22581245476444
100|4|96.30315807923833
100|4|114.44868885252278
100|5|97.54847268434028
100|5|96.60976720801322
100|5|105.19280307188744
100|5|93.02783748208026
100|5|84.37909958592451
100|5|112.34106063313078
100|5|97.87067470492175
100|5|84.14669887809603
100|5|67.03305851650089
100|5|102.95593170897737
100|6|92.27890557459949
100|6|92.46208064926923
100|6|104.62934608364804
100|6|106.04760792356424
100|6|93.71940871759098
100|6|105.7046545835384
100|6|100.8907136746938
100|6|99.53512605700699
100|6|103.48117504306163
100|6|100.65781259838731
100|7|66.96007410865444
100|7|95.71273114672327
100|7|95.88015418120078
100|7|97.22796997959352
100|7|107.94704193217132
100|7|114.2630689858199
100|7|66.5464070050447
100|7|109.9118098825598
100|7|79.38449201170268
100|7|106.3881177117055
100|8|108.65214194941231
100|8|96.04877943078537
100|8|136.8967379895615
100|8|105.16742909461327
100|8|107.90699752656404
100|8|66.59741646367839
100|8|108.39863111939194
100|8|80.21374854346948
100|8|99.21209614806067
100|8|102.7434070094852
100|9|131.19316696940606
100|9|102.74721609948735
100|9|134.4799314087014
100|9|98.89115885170558
100|9|106.18872068200625
100|9|91.33127004187143
100|9|108.31111430658633
100|9|100.18133718107315
100|9|76.75566846763354
100|9|101.5480500895851
100|10|71.11611516170252
100|10|146.4930628344551
100|10|110.7951764536218
100|10|72.43807342764138
100|10|103.48808027592388
100|10|103.83740140469641
100|10|102.94970841253438
100|10|100.3379577420949
100|10|156.55134696695913
100|10|71.18052890432745
200|1|110.05989193645163
200|1|131.00493041187673
200|1|105.96961759316225
200|1|108.93456546960725
200|1|126.26480085572017
200|1|104.93997989382684
200|1|114.5572909343189
200|1|112.55420132915741
200|1|114.53107135099168
200|1|119.90206021906363
200|2|110.34445457957507
200|2|78.50610953766225
200|2|118.87140328015286
200|2|129.430373270655
200|2|103.20380296033892
200|2|115.58675351449054
200|2|97.65508292177054
200|2|139.31789137235882
200|2|114.2207792055949
200|2|120.41742274385153
200|3|84.02027678249695
200|3|91.14609981778965
200|3|112.84375777358262
200|3|143.26555993638314
200|3|98.92329235955339
200|3|175.97940469774971
200|3|118.2078326463148
200|3|114.99025313798361
200|3|98.6042894141557
200|3|85.78086184001762
200|4|161.71262049520314
200|4|103.01206280801817
200|4|91.26395887510782
200|4|97.11512699792199
200|4|101.58583738723122
200|4|69.28309149306142
200|4|59.675066430369284
200|4|86.94764037905834
200|4|148.0139441887041
200|4|99.81808195638418
200|5|106.13850588966733
200|5|82.61138721978492
200|5|115.44161002317969
200|5|123.0316029465229
200|5|161.729470902762
200|5|119.72149165176499
200|5|141.26804688200903
200|5|144.55842928540144
200|5|186.53937594306498
200|5|128.16374214888802
200|6|178.72681341116598
200|6|201.1831115444065
200|6|83.19275392911466
200|6|167.4551820909372
200|6|144.00366189173167
200|6|152.83494356696355
200|6|141.80250625908081
200|6|185.26397239155276
200|6|169.49189823489687
200|6|92.53100325708478
