epoch|neuron|rmse 
100|1|289.5820574574945
100|1|207.51379698895357
100|1|209.99143930664212
100|1|242.15135100902705
100|1|249.24087298568983
100|1|279.9066315876571
100|1|267.57237110700095
100|1|316.02323969280326
100|1|317.97094277822777
100|1|220.4888980712807
200|1|383.56146278531133
200|1|238.23807580182907
200|1|288.4798381669018
200|1|285.3993465413798
200|1|277.732030690247
200|1|120.52371232377051
200|1|195.4200663896388
200|1|285.86433767999347
200|1|235.19004160228226
200|1|252.7932767031403
300|1|206.61553274297097
300|1|273.5259135967385
300|1|238.1383722378141
300|1|274.8418303167162
300|1|215.66485200090753
300|1|229.76806264830134
300|1|276.7691118552616
300|1|233.6682540224098
300|1|404.2774313485521
300|1|263.18998021070223
400|1|216.55174090052384
400|1|252.53216317163117
400|1|191.35867358953678
400|1|84.24995647995516
400|1|126.47587081765774
400|1|201.6761049091447
400|1|195.86522083032574
400|1|399.81669961516474
400|1|243.15270843893498
400|1|231.0104665215638
500|1|235.99102967293717
500|1|361.7666410238757
500|1|255.76845567092184
500|1|229.4886397291072
500|1|272.9577175912758
500|1|249.758583778064
500|1|244.76233809960502
500|1|272.8331716017209
500|1|250.41036043340694
500|1|83.25252981888801
600|1|209.01576157159562
600|1|254.6584810361117
600|1|249.03165580256433
600|1|251.59605562785165
600|1|213.36048859666724
600|1|282.4232866889704
600|1|266.23682059491324
600|1|342.1413268394189
600|1|255.64970527578254
600|1|258.9509240222372
700|1|432.2741752504833
700|1|228.80942987839282
700|1|255.97553227194885
700|1|244.81384918200376
700|1|252.2557883276054
700|1|256.3332836397095
700|1|309.196757245338
700|1|240.0083188576179
700|1|255.64196211335917
700|1|262.943064891362
800|1|240.5587009305213
800|1|240.06977221535962
800|1|462.8637077396529
800|1|241.00628283689426
800|1|249.426880664219
800|1|112.72821828293029
800|1|334.678053016248
800|1|244.56643214584622
800|1|93.14654767805754
800|1|247.891501640425
900|1|316.8983374808925
